# GECK Function Index - Auto-generated from GECK wiki XML
# Format: Name | Origin | Signature | Summary | Categories
# Search this file with grep to find relevant functions.
# For full details, grep the original XML for the function name.
#
# Origins: GECK1=base game, NVSE=NVSE plugin, JIP=JIP LN NVSE, JG=JohnnyGuitar,
#          SO=ShowOff NVSE, kNVSE=kNVSE, NX=NX, Hot Reload, etc.

"componentPath<nowiki>|templateName|</nowiki>''altTileName''" | JIP | "componentPath<nowiki>|templateName|</nowiki>''altTileName''"("componentPath<nowiki>|templateName|</nowiki>''altTileName''":, formatVars(up to 20):?) -> int | Creates a new UI tile from a pre-defined Template, returning 1 on success. Function argument uses the following format:<pre> "componentPath|templateName|altTileName(optional)"</pre> | Functions (JIP); UI Functions (JIP); UI Functions; Functions_(ButcherPete FOSE); Functions (FO3)
"keyword:string" | JIP | "keyword:string"("keyword:string":) | Returns an array_var of forms associated with a specified keyword. | Functions (JIP); Keyword Functions (JIP); Array Functions
SetPasswordNote | LU | [terminal:reference].SetPasswordNote(note:form, terminal:form?) | Sets the password note of a terminal. | Functions_(JIP); Terminal_Functions; Misc_Reference_Functions_(JIP); Note Functions
SetPCCanUsePowerArmor | GECK1 | SetPCCanUsePowerArmor(canUse:int) | Sets the flag which allows the player to use Power Armor. | Functions (GECK); Player Functions; Armor Functions
SetPCEnemyOfFaction | GECK1 | SetPCEnemyOfFaction(faction:baseform, enemyFlag:int) | Sets the enemy flag on a faction that tracks when the player commits a major crime against a crime-tracking faction. See Crime. | Functions (GECK); Crime Functions; Faction Functions; Actor Functions; Player Functions
SetPCExpelled | GECK1 | SetPCExpelled(FactionID:editorID, iFlag:bool) | Expels the player from the specified faction, and sets the "expelled" flag to true (see GetPCExpelled). If the player is in a faction-owned cell, he will be moved outside through the nearest door. When iFlag is 0, clears the "expelled" flag. | Functions (GECK); Faction Functions; Player Functions
SetPCHasSleepWaitOverride | ShowOff | SetPCHasSleepWaitOverride(bSetSleepWaitOverrideOn:) | If set to 1, sets a flag that prevents the player from sleeping/waiting. Setting it to 0 removes this flag. | Player Functions; Functions (ShowOff NVSE); Savebaked Functions
SetPCSleepHours | GECK1 | SetPCSleepHours(iHours:int) | Manually forces the player to sleep the specified number of hours. | Functions (GECK); Player Functions; Time Functions; UI Functions
SetPCToddler | GECK1 | SetPCToddler(isToddler:bool) | Makes the player use the "toddler walk" animation set. | Functions (GECK); Player Functions
SetPCYoung | GECK1 | SetPCYoung(isYoung:bool) | Flags the player as young. A young player only uses the default hair for his race and never loads face attachments. | Functions (GECK); Player Functions
SetPerkFlag | JIP | SetPerkFlag(perk:ref, flagID:int, flagSet:0/1) -> isFlagSet:0/1 | Sets/un-sets the specified flag (determined by <i>flagID</i>) for the specified 'Perk'. | Functions (JIP); Perk Functions (JIP); Perk Functions; Flag Functions
SetPerkLevel | JIP | SetPerkLevel(perk:form, reqLevel:int) | Sets the required level of the specified 'Perk' form. | Functions (JIP); Perk Functions (JIP); Perk Functions; Functions_(Command Extender)
SetPerkRank | LU | reference.SetPerkRank(perk:form, rank:int, forTeammates:1/0?) | Sets the rank of the specified Perk on the calling actor, or adds it at a specified rank if they don't have it. *When called on the 'player character', this function will set/add the perk rank on the player, <u>unless</u> the optional argument '<i>forTeammates</i>' is non-zero, in which case it will set/add the perk rank for teammates. *When called on any actor other than the player, this function will work correctly only if the 'uNPCPerks' optional JIP LN feature is toggled in 'Data\NVSE\plugins\jip_nvse.ini'. | Functions (JIP); Actor Functions (JIP); Perk Functions (JIP); Actor Functions; Perk Functions; Functions_(Command Extender)
SetPermanent | NVSE | SetPermanent(flag:Integer, ref:ObjectRef?) -> Float | Sets the permanent flag on a base form. This change is savebaked. | Functions_(NVSE); Savebaked Functions
SetPersistent | JIP | reference.SetPersistent(persistent:0/1) -> persistent:0/1 | Sets/un-sets the persistent flag for the calling reference. | Functions_(JIP); Misc Reference Functions (JIP)
SetPickupSound | LU | SetPickupSound(object:form, sound:form) | Sets the pickup sound form of a form. | Functions_(JIP); Sound_Functions_(JIP); Sound_Functions
SetPlayerCanPickpocketEquippedItems | ShowOff | void.SetPlayerCanPickpocketEquippedItems(:) -> none (alias: SetPCCanStealEqItems) | Sets on/off the ability to pickpocket equipped items. | Player Functions; Functions (ShowOff NVSE)
SetPlayerCurrentAmmoRounds | NVSE | reference.SetPlayerCurrentAmmoRounds(:) -> none | Sets the current number of rounds in the clip of the player's weapon. | Functions_(NVSE); Player Functions; Functions_(Command Extender); Ammo Functions
SetPlayerMovementFlags | JohnnyGuitar | SetPlayerMovementFlags(int:Integer) -> Float | Sets the Players Movement Flag | Functions (JohnnyGuitar NVSE); Player Functions; Bit Functions; Flag Functions
SetPlayerTagSkill | GECK1 | SetPlayerTagSkill(SkillName:string, iSkillIndex:int) | Sets a specified skill to be the tag skill in a specified index (0-3). Setting a tag skill gives the player a starting bonus in that skill (fAVDTagSkillBonus). | Functions (GECK); Player Functions; Actor Value Functions
SetPlayerTeammate | GECK1 | [actor:ref].SetPlayerTeammate(teammateFlag:int) | Changes the actor's behavior to simulate being a combat teammate of the player. The actor will act and react as if he is in the player faction for the purposes of combat. Other actors will treat the actor as is he were in the player faction. The teammate will imitate the player's sneak state. An actor in the teammate state can be activated in combat. | Functions (GECK); Miscellaneous Functions; Actor Functions; Follower Functions
SetPos | GECK1 | [Object].SetPos(Axis:char, Pos:float) | Sets the position of the calling object relative to the world on the specified axis (X, Y, or Z). | Functions (GECK); Movement Functions
SetPosEx | JIP | reference.SetPosEx(posX:float, posY:float, posZ:float, translate:0/1?) | Sets the XYZ position of the calling object reference. This function sets the position on all three axes, and is faster than calling SetPos for each axis, individually. It also ignores the FormType limitations imposed on 'SetPos'. *If the 4th, optional argument, '<i>translate</i>', is non-zero, instead of flat-setting the object's position, the function will move the object to the specified XYZ point, relative to its 'current position and local rotation'. | Functions (JIP); Misc Reference Functions (JIP); Movement Functions
SetPrimitiveBound | JIP | reference.SetPrimitiveBound(axis:X/Y/Z, newValue:float) -> bound:float | Sets the specified bound of the primitive of the calling reference. | Functions (JIP); Misc Reference Functions (JIP)
SetProjectileExplosion | JIP | SetProjectileExplosion(projectile:ref, newExplosion:ref?) -> explosion:ref | Sets the projectile's explosion. | Functions_(JIP); Projectile Functions (JIP); Projectile Functions
SetProjectileFlag | JIP | SetProjectileFlag(projectile:ref, flagID:int, newValue:0/1) -> flagValue:0/1 | Sets a projectile's flag value (determined by <i>flagID</i>). | Functions_(JIP); Projectile Functions (JIP); Projectile Functions; Flag Functions
SetProjectileLight | JIP | SetProjectileLight(projectile:form, light:form?) | Sets the specified Projectile's emmited Light form. *The 2nd argument is <i>optional</i>. When omitted, the emitted light will be set to <i>None</i>. | Functions (JIP); Projectile Functions (JIP); Projectile Functions; Light Functions
SetProjectileMuzzleFlash | JIP | SetProjectileMuzzleFlash(Projectile:form, NewPath:string) | Sets the model path for the specified projectile muzzle flash. | Functions_(JIP); Projectile Functions; Projectile Functions_(JIP); String Functions; File Functions; Model Functions
SetProjectileRefDamage | JIP | reference.SetProjectileRefDamage(newDamage:float) -> damage:float | Sets the <i>base damage</i> that will be inflicted by the calling live-projectile, upon impact. By default, this equals the base damage of the source weapon. | Functions_(JIP); Projectile Functions (JIP); Projectile Functions
SetProjectileRefSource | JIP | reference.SetProjectileRefSource(newSource:ref) | Sets the reference that is the "source" of the calling live-projectile - that is, who/what fired it. Whoever is hit by the projectile will consider that reference as his attacker. | Functions_(JIP); Projectile Functions (JIP); Projectile Functions
SetProjectileRefSpeedMult | JIP | reference.SetProjectileRefSpeedMult(newMult:float) -> speedMult:float | Sets the <i>speed multiplier</i> of the calling live-projectile. The effective speed is equal to the <i>base speed</i> (as defined in the projectile's base-form) x <i>speed multiplier</i>. | Functions_(JIP); Projectile Functions (JIP); Projectile Functions
SetProjectileRefWeapon | JIP | reference.SetProjectileRefWeapon(newWeapon:ref) -> weapon:ref | Sets the weapon that fired the calling live-Projectile. This will have an effect on <i>Impact Data Set</i>, <i>Object Effect</i>, <i>Critical Effect</i>, and possibly more - all of which will be "inherited" from the new weapon. | Functions_(JIP); Projectile Functions (JIP); Projectile Functions
SetProjectileTracerChanceOverride | ShowOff | SetProjectileTracerChanceOverride(chanceOverride:int?) -> int | Sets or removes an override determining when to draw projectile tracers. Possible values for chanceOverride: If -1, remove override (returns to default chance-based behavior. If 0, never draw tracers. If 1, always draw tracers if the base Projectile has a tracer chance > 0 to start with. Calling this function with no args or with a value of -2 or lower will produce no changes. Returns the status of the tracer chance override BEFORE the function was called. | Functions (ShowOff NVSE); Projectile Functions
SetProjectileTraitNumeric | JIP | SetProjectileTraitNumeric(projectile:ref, traitID:int, newValue:float) -> traitValue:float | Sets the value of a projectile's numeric trait (determined by <i>traitID</i>). | Functions_(JIP); Projectile Functions (JIP); Projectile Functions
SetPutdownSound | LU | SetPutdownSound(object:form, sound:form) | Sets the putdown sound of a form. | Functions_(JIP); Sound_Functions_(JIP); Sound_Functions
SetQuestDelay | GECK1 | SetQuestDelay(quest:baseform, questDelay:float) | SetQuestDelay modifies the processing time delay for a script. The change is save-baked. By default, quest scripts process every 5 seconds (this is based on an INI setting). This is to prevent the quest scripts from taking up an excessive amount of processor time. Unless you have a good reason, you should leave the quest script processing every 5 seconds. Good reasons include: *The quest script is running a timer which requires precise timing (e.g. for dialogue). *The quest script needs to react to something with precise timing (e.g. to trigger different parts of a scene). Even when you have a good reason, avoid setting the quest delay time to .1, or any other low number, for the duration of a quest. Under almost all circumstances, set the quest delay to a low number for a specific purpose, and when that purpose is finished, set it back to the default. | Functions (GECK); Quest Functions; Script Functions
SetQuestFlag | JIP | SetQuestFlag(quest:form, flagID:int, newValue:0/1) | Sets/un-sets the specified flag (determined by <i>flagID</i>) for the specified 'Quest' form. | Functions (JIP); Quest Functions (JIP); Quest Functions; Flag Functions
SetQuestItem | FOSE1 | ref.SetQuestItem(QuestFlag:bool, Item:Object?) -> none | Sets the quest item flag for the specified BaseForm. If only a calling reference is passed, its BaseForm is used. This change is save baked. | Functions_(FOSE); Functions_(NVSE); Quest Functions; Functions (FO3); Savebaked Functions
SetQuestObject | GECK1 | SetQuestObject(object:form, questObjectFlag:int) | Sets the "quest item" flag on an object or actor (1 or 0). When this flag is set to 1: * NPC/Creature -- has priority in updates when the player is changing process state. For instance, "quest" flagged NPCs will follow the player through load doors more quickly. Corpses will not be "cleaned up" when the cell expires. * Inventory items -- player cannot drop or sell items flagged as "quest items". | Functions (GECK); Object Functions; Quest Functions
SetRace | LU | SetRace(NPC:form, race:form) | Sets the specified 'NPC' form's 'Race'. *Visual update of loaded references, via Update3D, is required. *This function may have unanticipated side effects. | Functions (JIP); Actor Functions (JIP); Actor Functions
SetRadiationExtraData | ShowOff | reference.SetRadiationExtraData(newVal:float) -> bool | Sets the reference's Radiation ExtraData, if it has any. If it has no Radiation ExtraData, it is added and created. The changes are savebaked. This data is mostly used for Radiation Markers, where it determines the amount of rads gained while standing in the marker's radius. | ExtraData Functions; Functions (ShowOff NVSE)
SetRadioBroadcastType | LU | [talkingActivator:reference].SetRadioBroadcastType(broadcastType:int) | Sets the broadcast type of a radio reference. (See below for values.) | Radio Functions; Functions_(JIP); Radio_Functions_(JIP)
SetRadioPosRef | LU | [talkingActivator:reference].SetRadioPosRef(positionReference:ref) | Sets the exterior position reference of a radius-type radio broadcast. | Radio Functions; Functions_(JIP); Radio_Functions_(JIP)
SetRadioRadius | LU | [talkingActivator:reference].SetRadioRadius(radius:float) | Sets the radius of a radius-type radio broadcast. | Radio Functions; Functions_(JIP); Radio_Functions_(JIP)
SetRadioStatic | LU | [talkingActivator:reference].SetRadioStatic(percent:float) | Sets the static percentage of a radius-type radio broadcast. | Radio Functions; Functions_(JIP); Radio_Functions_(JIP)
SetRadius | LU | reference.SetRadius(radius:float, light:baseform) | Sets the radius of a reference (any type) or Light BaseForm. If used on a reference, this will modify that reference's Radius ExtraData. If it does not exist, it is created. Note that it may not be saved with the reference, depending on the reference's type. | Functions_(JIP); Light_Functions_(JIP); Light_Functions; ExtraData Functions
SetRandomizerSeed | ShowOff | SetRandomizerSeed(seedValue:UInt?) (alias: SetSeed) | Sets the [https://en.wikipedia.org/wiki/Random_seed randomizer seed] (unsigned int) for the calling mod, and resets any progress made with that seed. If no seedValue is specified, or if it is set to 0, will set the seed to the 'default seed' (value of 5489). *'NOTE: since the default seed is constant, it will always generate the same sequence of random numbers.' For use with generating random numbers via RandSeeded / GetRandomPercentSeeded. Does not affect random number generation for any other function. | Math Functions; Functions (ShowOff NVSE)
SetRecipeCategory | LU | SetRecipeCategory(recipe:baseform, category:baseform) | Sets the category of a recipe form. | Functions_(JIP); Recipe Functions; Recipe_Functions_(JIP)
SetRecipeInputCount | LU | SetRecipeInputCount(recipe:baseform, input:baseform, count:int) | Sets the amount of an item required for a recipe. | Functions_(JIP); Recipe Functions; Recipe_Functions_(JIP)
SetRecipeOutputCount | LU | SetRecipeOutputCount(recipe:baseform, output:baseform, count:int) | Sets the amount of an item produced by a recipe. | Functions_(JIP); Recipe Functions; Recipe_Functions_(JIP)
SetRecipeRequiredSkill | LU | SetRecipeRequiredSkill(recipe:baseform, actorValueCode:int) | Sets the actor value code of a recipe's required skill. | Functions_(JIP); Recipe Functions; Recipe_Functions_(JIP); Actor Value Functions
SetRecipeRequiredSkillLevel | LU | SetRecipeRequiredSkillLevel(recipe:baseform, skillLevel:int) | Sets the skill level required by a recipe. | Functions_(JIP); Recipe Functions; Recipe_Functions_(JIP); Actor Value Functions
SetRecipeSubcategory | LU | SetRecipeSubcategory(recipe:baseform, category:baseform) | Sets the subcategory of a recipe form. | Functions_(JIP); Recipe Functions; Recipe_Functions_(JIP)
SetRefCount | NVSE | reference.SetRefCount(NewCount:int) | Sets the number of items in a stack of items in the world. Note that while this function will change the count of any type of reference, it may have unpredictable results when used on references like NPCs which are not logically stackable. | Functions_(NVSE); UI Functions
SetReferenceFlag | LU | [ref].SetReferenceFlag(flag:int, value:bool) (alias: SetRefFlag) | Sets a flag on a reference. | Functions_(JIP); Misc Reference Functions (JIP); Flag Functions
SetRefExtraData | JIP | reference.SetRefExtraData(slotIndex:int?, value:any?) | Sets the value stored at the specified slot index of the calling reference's Extra Data. *The value may be numeric, a form/reference, or a string. 'See table below for data-type restrictions per slot'. *Calling the function with both arguments omitted will remove 'all' extra-data from the calling reference. | Functions (JIP); Extra Data Functions (JIP); Misc Reference Functions (JIP)
SetRefName | JIP | reference.SetRefName(newName:string?) | Sets the name of the calling reference. Unlike SetName/SetNameEx/LNSetName, all of which change the name of <u>every</u> instance of the 'Base Form', this function assigns a name 'unique' <u>only</u> to the reference. *If the '<i>newName</i>' argument is omitted, the reference's name is reset to the default one. *To retrieve the unique name of a reference (if any), LNGetName should be used; GetName etc will only return the base form's name. | Functions (JIP); Misc Reference Functions (JIP); Name Functions_(JIP); Name Functions; String Functions
SetRefrModelPath | JIP | reference.SetRefrModelPath(nifPath:string?) | Sets the file path to the 'NIF model' used by the calling reference. Unlike similar functions, such as SetModelPathEx, the model is changed <u>for the calling reference only</u> and will not affect other instances of the same base form. *The file path is relative to '..\Data\Meshes\'. *Calling the function with the 'nifPath' argument omitted will reset the model to the one defined for the reference's base form. *A call to this function should be followed by a call to Update3D on the reference, in order to apply the changes. | Functions (JIP); Misc Reference Functions (JIP); Model Functions
SetRefVariable | NVSE | ref.SetRefVariable(VarName:string, NewValue:form, Parent:Object?) -> none | Sets the value of the 'ref' variable specified by name for the calling reference or specified scriptable object. | Functions_(NVSE); Script Functions
SetRepairList | FOSE1 | itemRefr.SetRepairList(repairFormList:baseform, itemForm:baseForm?) | Sets the repair list for the specified item. If itemForm is omitted and a calling reference is passed, will use that reference's BaseForm. | Functions_(FOSE); Functions_(NVSE)
SetRestrained | GECK1 | [actor:ref].SetRestrained(restrainedFlag:int) | Set the actor to a restrained state (or clear the state). Restrained actors will not move from their current position, or enter combat, but will continue to "think" (pick packages, run detection so they could yell alarms) and go into dialogue. | Functions (GECK); AI Functions
SetRumble | GECK1 | SetRumble(leftMotorStrength:float, rightMotorStrength:float, duration:float) | Sets the rumble on the Xbox 360 or PlayStation 3 controller. | Functions (GECK); Functions (Consoles)
SetSaidOnce | JohnnyGuitar | SetSaidOnce(TopicInfo:form, flagValue:Bool, saveBake:Bool) -> bool | Sets the value of the 'SaidOnce' flag on the specified Topic Info. | Functions (JohnnyGuitar NVSE); Dialogue Functions
SetScale | GECK1 | reference.SetScale(scale:float) | Sets the scale of the calling object to the specified amount: 1.0 being "normal size", 2.0 being twice normal size, etc. This change is savebaked. | Functions (GECK); Scale Functions; Savebaked Functions
SetScopeModelPath | NVSE | ref.SetScopeModelPath(ModelPath:string, ToSetFor:weapon?) -> none | Sets the path to the scope model of the specified weapon. | Functions_(NVSE); Weapon Functions; File Functions; Model Functions
SetScript | FOSE1 | reference.SetScript(NewScript:baseForm, ScriptableObject:baseForm) -> previousScript:baseForm | Sets the specified Script onto the specified BaseForm, and returns any previous script. If ScriptableObject is omitted and a calling reference is provided, that reference's BaseForm is modified. | Functions_(FOSE); Functions_(NVSE); Script Functions
SetScriptDisabled | JIP | SetScriptDisabled(scriptOrList:ref, disable:0/1) | Disables/re-enables the specified 'Script' (or, alternatively, every script in the specified 'Form List'). *While disabled, the script will 'not' be processed by the game (including any and all block-types). *'Variables' defined in the script remain accessible, and may still be read/modified remotely, from another script. | Functions (JIP); Script Functions (JIP); Script_Functions
SetScriptEventDisabled | JIP | SetScriptEventDisabled(anyFormOrList:ref, eventNames:string, disable:0/1) | Disables/re-enables the specified script-'Event Block' (i.e. <i>OnActivate</i>, <i>OnAdd</i>, <i>OnTrigger</i>, etc.) in the 'Script' (if any) of the specified form(s). *A disabled 'Event Block' will <u>not</u> run when its matching game-event occurs and gets registered in the containing 'Script'. There are three options for the first argument (<i>anyFormOrList</i>): *An 'Object Reference' - In which case, the effects will apply <u>only</u> on that one, specific reference. *A 'Base Form' - In which case, the effects will apply on <u>every</u> instance of that form in the world. *A 'Form List' of object references and/or base forms. The second argument (<i>eventNames</i>) is a string containing the event names. Multiple event names may be specified, separated by a space. | Functions (JIP); Script Functions (JIP); Script_Functions
SetSecuritronExpression | VEGAS1 | SetSecuritronExpression(Target:reference, Face:String, Expression:String) (alias: SetSecExp) | Used to set a Securitron reference's expression on their monitor. Requires a reference and two strings. | Functions (Vegas); Texture Functions; Savebaked Functions
SetSeedUsingForm | ShowOff | anyReference.SetSeedUsingForm(seedForm:anyForm?) (alias: SetFormSeed) | Sets the [https://en.wikipedia.org/wiki/Random_seed randomizer seed] (unsigned int) for the calling mod using the specified form's FormID, and resets any progress made with that seed. If no valid form is passed, will set the seed to the default seed (value of 5489). *'NOTE: since the default seed is constant, it will always generate the same sequence of random numbers.' For use with generating random numbers via RandSeeded / GetRandomPercentSeeded. Does not affect random number generation for any other function. | Math Functions; Functions (ShowOff NVSE)
SetServiceFlag | LU | SetServiceFlag(NPC:form, flagID:int, doSet:1/0) | Sets/un-sets the specified buy/sell/service flag for the specified 'NPC' form. | Functions (JIP); Actor Functions (JIP); Actor Functions; Flag Functions
SetShowOffDebugMode | ShowOff | SetShowOffDebugMode(isDebugEnabled:int) | If set to a non-0 value, toggles debug print messages for certain ShowOff NVSE functions. Not particularly useful for most modmakers; this exists more-so to aid in ShowOff's development. | Debugging; Functions (ShowOff NVSE)
SetShowOffOnCornerMessageEventHandler | ShowOff | SetShowOffOnCornerMessageEventHandler(setORremove:1/0, handlerScript:ref, flag:int?) (alias: SetOnCornerMessageEventHandler) | Sets/removes the specified 'UDF Script' as a handler that will be invoked whenever a corner message (like ones from MessageEx) 'is appended to the corner message queue'. For example, it runs when a message is added via MessageExAlt, which is not necessarily when it is displayed. When invoked, the script gets passed 5 arguments: #The message text. #The icon type, used for preset icon paths. Only used internally by the engine, otherwise left at 0. #The icon path. #The sound path (unknown when this is used, usually null). #The duration of the message. *If any of the strings are null, they are passed as '"<void>"' to the UDF. Unlike ShowOff:OnQueueCornerMessage, this will run even if the message being queued will be ignored and immediately removed from the queue. For example, if you have a Karma loss message currently displayed, then the game won't actually queue another one unless something else is in the queue, as it detects the redundancy and eliminates it. | Functions (ShowOff NVSE); Event Handlers (ShowOff NVSE); Event Handlers; Message Functions
SetShowQuestItems | GECK1 | SetShowQuestItems(showQuestItemsFlag:int) | This is used to show or hide quest items in the player's inventory (normally the player cannot drop or sell quest items). When flag = 1, quest items will be displayed in the player's inventory (default functionality). When flag = 0, quest items will be hidden. Obviously this function has to be used in very controlled circumstances to prevent the player from permanently "losing" all his quest items. | Functions (GECK); Object Functions; Quest Functions
SetSize | GECK1 | [actor:ref].SetSize(size:float) -> int (alias: CSize) | Shrink/Grow an actor. Sets the actor size to specified radius (0.0 resets the actor to its original radius). | Functions (GECK); Miscellaneous Functions
SetSoundFlag | JIP | SetSoundFlag(sound:ref, flagID:int, newValue:0/1) -> flagValue:0/1 | Sets a Sound's flag value (determined by <i>flagID</i>). | Functions_(JIP); Sound Functions (JIP); Sound_Functions; Flag Functions
SetSoundSourceFile | JIP | SetSoundSourceFile(sound:ref, filePath:string) | Sets the source sound file/folder path used by the specified Sound. | Functions_(JIP); Sound Functions (JIP); Sound_Functions; File Functions
SetSoundTraitNumeric | JIP | SetSoundTraitNumeric(sound:ref, traitID:int, newValue:float) -> traitValue:float | Sets the value of a Sound's numeric trait (determined by <i>traitID</i>). | Functions_(JIP); Sound Functions (JIP); Sound_Functions
SetSPECIALPoints | GECK1 | SetSPECIALPoints(iTotalPoints:int) | Opens the CharGen menu to the Attributes page for distributing SPECIAL points. It sets the total amount of SPECIAL points the player has, adding or subtracting points until the given total is reached. | Functions (GECK); Player Functions; Actor Value Functions; UI Functions
SetSpeedMult | JIP | reference.SetSpeedMult(speedMult:int?) | Sets the calling actor's 'Speed Multiplier' to the specified value and applies the changes on movement animations. If the <i>speedMult</i> argument is omitted, the function applies the changes using the current value. | Functions_(JIP); Actor Functions (JIP); Actor_Functions; Functions_(Command Extender)
SetStage | GECK1 | SetStage(quest:baseform, stageIndex:int) | Sets the specified quest stage to "Completed", and resolves any of the attached stage items that pass their conditions (runs results, adds to quest log, completes the quest if it should). | Functions (GECK); Quest Functions; Savebaked Functions
SetStageAlt | JIP | SetStageAlt(quest:ref, stage:int) | Works exactly as SetStage. The only difference is that this function will set the specified quest's highest completed stage (i.e. the value returned by GetStage) to the specified number, even if it is lower than the current stage. | Quest Functions; Functions (JIP); Quest Functions (JIP); Savebaked Functions
SetStickDisabled | JIP | SetStickDisabled(rightStick:0/1, setDisabled:0/1) | Disables/enables the left/right controller stick. | Functions (JIP); Controller Functions (JIP); Input Functions
SetStringGameSettingEx | NVSE | SetStringGameSettingEx(SettingName-and-NewValue:string, <i>Formatting</i>:) -> none | Sets the value of a string Game Setting, which is specified as a single formatable string, separated using the pipe character ('{{!}}'): "SettingName{{!}}NewValue". When calling from the console, use '@' instead of the pipe character. | Functions_(NVSE); GameSetting Functions; Deprecated Functions
SetStringIniSetting | NVSE | SetStringIniSetting(Setting:string, NewValue:string) -> none | Sets the value of a string ini setting found in 'Fallout.ini' / 'FalloutPrefs.ini' / 'FalloutCustom.ini', which is specified as a string in format: "settingName:settingGroup". | Functions_(NVSE); File Functions; INI Functions
SetStringSetting | LU | SetStringSetting(settingName:string, newValue:string) | Sets the value of a string GameSetting (NVSE function SetStringGameSettingEx doesn't work correctly). | Functions_(JIP); Miscellaneous Functions (JIP); GameSetting Functions
SetSystemColor | JIP | SetSystemColor(interfaceID:int, red:float, green:float, blue:float) | Sets the global 'RGB colour' of the specified interface. <pre>1&#09;HUD - Main 2&#09;HUD - Alt. 3&#09;Terminal 4&#09;Pip-Boy 5&#09;Main/Pause Menu</pre> | Functions (JIP); UI Functions (JIP); UI Functions; Functions_(ButcherPete FOSE); Functions (FO3)
SetTagSkills | GECK1 | SetTagSkills(addedPoints:int, showInitialTaggedSkills:bool?) | Opens the CharGen menu to the Skills page for selecting Tagged Skills. It sets the total number of tagged skills the player can choose. | Functions (GECK); Player Functions; Actor Value Functions; UI Functions
SetTalkingActivatorActor | GECK1 | [activator:ref].SetTalkingActivatorActor(actor:ref?) | Sets the actor whose dialogue should be used for a talking activator object. It is called on a talking activator reference (a computer) and an optional parameter which is the actor who is "talking" through the activator. If no actor is passed in then the talking activator reverts its normal talking behavior. | Functions (GECK); Actor Functions
SetTerminalUIModel | JIP | SetTerminalUIModel(terminalOrList:ref, modelPath:string?) | Sets the UI art file that will be used for the specified 'Terminal' in the computers/hacking menu. *The first argument may be either a 'Terminal' form, or a 'Form List' of terminal forms. *If the second argument is omitted, the art file will be reset to the default one. | Functions (JIP); UI Functions (JIP); UI Functions; Model Functions; File Functions
SetTextInputExtendedProps | JIP | SetTextInputExtendedProps(offsetX:float, offsetY:float, minLength:int?, maxLength:int?, switches:int?) | Sets various extended properties of the currently active 'Text Input Menu'. The function takes up to five arguments: *'<i>offsetX</i>' - Override the horizontal (x) origin of the text input window to the specified value. If zero, use the default origin (center of the screen). *'<i>offsetY</i>' - Override the vertical (y) origin of the text input window to the specified value. If zero, use the default origin (center of the screen). *'<i>minLength</i> (optional)' - The minimum number of characters the input text must contain before the 'OK' button may be pressed; 'defaults to 1'. *'<i>maxLength</i> (optional)' - The maximum number of characters the input text may contain, after which further input is ignored. If omitted, or if zero, 'defaults to 32,767'. *'<i>switches</i> (optional)' - A bit-mask of switches, as specified below; 'defaults to 0'. <pre>1&#09;Digits only (including point) 2&#09;Pressing 'Enter' closes menu (instead of new line)</pre> | Functions (JIP); UI Functions (JIP); UI Functions
SetTextInputString | JIP | SetTextInputString(textInput:formattedString, formatVars(up to 20):?) | Sets the text string in the currently active 'Text Input Menu' to the specified 'formatted string'. Any text already in the menu will be discarded. | Functions (JIP); UI Functions (JIP); UI Functions; String Functions; String Functions (JIP)
SetTexturePath | NVSE | reference.SetTexturePath(NewPath:string, Object:form?) -> none | Sets the texture file path for the specified object or calling reference. Sets the texture path of an object. This command is similar to SetIconPath but works for a broader set of objects. | Functions_(NVSE); String Functions; File Functions; Texture Functions; NVSE-Aware Functions; Functions_(ButcherPete FOSE); Functions (FO3)
SetTextureSetFlag | JIP | SetTextureSetFlag(textureSet:ref, flagID:int, newValue:0/1) -> flagValue:0/1 | Sets a Texture-Set's flag value (determined by <i>flagID</i>). | Functions_(JIP); Texture-Set Functions (JIP); Flag Functions
SetTextureSetTexture | JIP | SetTextureSetTexture(textureSet:ref, mapID:int, texturePath:string) | Sets the texture path of the specified <i>mapID</i> of a Texture-Set. | Functions_(JIP); Texture-Set Functions (JIP); Texture Functions; Functions (FO3); Functions (ButcherPete FOSE)
SetTextureSetTraitNumeric | JIP | SetTextureSetTraitNumeric(textureSet:ref, traitID:int, newValue:float) -> traitValue:float | Sets the value of a Texture-Set's numeric trait (determined by <i>traitID</i>). | Functions_(JIP); Texture-Set Functions (JIP)
SetTokenRef | NVSE | Actor.SetTokenRef(Token:baseform, NewValue:anyform) -> none | Sets the form value of the specified token in the inventory of the calling reference. | Functions_(NVSE); Token Functions
SetTokenValue | NVSE | Actor.SetTokenValue(Token:baseform, NewValue:float) -> none | Sets the numeric value of the specified token in the inventory of the calling reference. | Functions_(NVSE); Token Functions
SetTokenValueAndRef | NVSE | Actor.SetTokenValueAndRef(Token:baseform, NewValue:float, NewValue:form) -> none | Sets the numeric and form values of the specified token in the inventory of the calling reference. | Functions_(NVSE); Token Functions
SetUIFloat | FOSE1 | SetUIFloat(traitName:string, newValue:float) | Sets the value of a float UI trait. Trait name is of the format used by GetUIFloat. | Functions_(FOSE); Functions_(NVSE); UI Functions; Deprecated Functions
